CHEMICAL NAME,CHEMICAL ID,CHEMICAL ID W/O DASHES,CHEMICAL ID TYPE,2023 NATIONALLY AGGREGATED PV,2022 NATIONALLY AGGREGATED PV,2021 NATIONALLY AGGREGATED PV,2020 NATIONALLY AGGREGATED PV
"(Polyisobutenyl)dihydro-2,5-furandione reaction product with polyethyleneamines metal salt",24103,24103,Accession Number,"<50,000","<50,000","<50,000","<50,000"
"(Polyisobutenyl)dihydro-2,5-furandione, reaction product with polyethyleneamines, hydroxyalkane and heteromonocycledithione",18805,18805,Accession Number,"250,000 – <550,000","250,000 – <550,000","250,000 – <550,000","250,000 – <550,000"
.alpha.-Amylase,9000-90-2,9000902,CASRN,0,0,153,0
.alpha.-Cyclodextrin,10016-20-3,10016203,CASRN,"75,000 – <500,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
".alpha.-Cyclodextrin, 2-hydroxypropyl ethers",128446-33-3,128446333,CASRN,"<25,000","100,000 – <250,000","250,000 – <400,000","400,000 – <550,000"
".alpha.-D-Galactopyranoside, 1,6-dichloro-1,6-dideoxy-.beta.-D-fructofuranosyl 4-chloro-4-deoxy-",56038-13-2,56038132,CASRN,0,"8,929",0,0
".alpha.-D-Glucopyranoside, .beta.-D-fructofuranosyl",57-50-1,57501,CASRN,"250,000 – <550,000","100,000 – <250,000","100,000 – <250,000","100,000 – <250,000"
".alpha.-D-Glucopyranoside, .beta.-D-fructofuranosyl, benzoate",12738-64-6,12738646,CASRN,"75,000 – <500,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
".alpha.-D-Glucopyranoside, .beta.-D-fructofuranosyl, diacetate hexakis(2-methylpropanoate)",27216-37-1,27216371,CASRN,"1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000"
".alpha.-D-Glucopyranoside, .beta.-D-fructofuranosyl, octadecanoate",37318-31-3,37318313,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
".beta.-Alanine, N-(2-carboxyethyl)-N-(2-ethylhexyl)-, sodium salt (1:1)",94441-92-6,94441926,CASRN,"400,000 – <550,000","400,000 – <550,000","550,000 – <700,000","250,000 – <400,000"
".beta.-Alanine, N-(2-carboxyethyl)-N-[3-(decyloxy)propyl]-, sodium salt (1:1)",64972-19-6,64972196,CASRN,"50,000 – <250,000","50,000 – <250,000","550,000 – <1,000,000","50,000 – <250,000"
".beta.-Alanine, N-(2-carboxyethyl)-N-[3-(octyloxy)propyl]-, sodium salt (1:1)",64972-18-5,64972185,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
".beta.-Alanine, N-(2-carboxyethyl)-N-[3-[(2-carboxyethyl)amino]propyl]-, N-[(isoalkyloxy)propyl]derivs. (PROVISIONAL)",177550,177550,Accession Number,"<50,000","<50,000","<50,000","<50,000"
".beta.-Alanine, N-(2-carboxyethyl)-N-dodecyl-, sodium salt (1:1)",14960-06-6,14960066,CASRN,"850,000 – <1,000,000","1,000,000 – <2,500,000","850,000 – <1,000,000","850,000 – <1,000,000"
".beta.-Alanine, N-[4-[2-(2-bromo-6-chloro-4-nitrophenyl)diazenyl]phenyl]-N-(3-methoxy-3-oxopropyl)-, methyl ester",59709-38-5,59709385,CASRN,0,"29,024",0,0
.beta.-Amylase,9000-91-3,9000913,CASRN,"42,528","108,901","10,242",0
.beta.-Cyclodextrin,7585-39-9,7585399,CASRN,"1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000"
".beta.-Cyclodextrin, 2-hydroxypropyl ethers",128446-35-5,128446355,CASRN,"2,500,000 – <4,000,000","4,000,000 – <5,500,000","4,000,000 – <5,500,000","4,000,000 – <5,500,000"
".beta.-Cyclodextrin, methyl ethers",128446-36-6,128446366,CASRN,"250,000 – <550,000","250,000 – <550,000","250,000 – <550,000","50,000 – <250,000"
".beta.-Cyclodextrin, polymer with 2,3,5,6-tetrafluoro-1,4-benzenedicarbonitrile, hydrolyzed, 2-(trimethylammonio)ethyl ethers, chlorides",2683011-63-2,2683011632,CASRN,"<50,000","<50,000","<50,000","<50,000"
.beta.-D-Glucopyranose,492-61-5,492615,CASRN,0,"7,000",0,0
"[1,1'-Biphenyl]-2,2'-diol, 3,3',5,5'-tetrakis(1,1-dimethylethyl)-",6390-69-8,6390698,CASRN,"33,350",0,0,0
"[1,1'-Biphenyl]-3,3',4,4'-tetramine",91-95-2,91952,CASRN,"140,461","221,027","134,879","31,130"
"[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dichloro-, hydrochloride (1:2)",612-83-9,612839,CASRN,"1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000"
"[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dimethoxy-, hydrochloride (1:2)",20325-40-0,20325400,CASRN,"75,000 – <500,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
